FS number,FS lat,FS lon,FS zip
1,37.7794517,-122.4063073,94107
2,37.7970582,-122.4122368,94133
3,37.7866342,-122.4215065,94109
4,37.7728255,-122.391244,94158
5,37.7804925,-122.4329431,94115
6,37.7670926,-122.4329431,94114
7,37.7602653,-122.4173649,94110
8,37.7603022,-122.4326858,94107
9,37.7452464,-122.4034752,94124
10,37.7856359,-122.449001,94118
11,37.7488155,-122.428696,94131
12,37.7634946,-122.4547954,94117
13,37.7955561,-122.4035995,94111
14,37.7790095,-122.4881374,94121
15,37.7234912,-122.4550711,94112
16,37.7986499,-122.4389375,94123
17,37.7275245,-122.3871891,94124
18,37.7509713,-122.492579,94116
19,37.7278289,-122.4811535,94132
20,37.7511746,-122.4584127,94131
21,37.775468,-122.4424985,94117
22,37.7639945,-122.4758333,94122
23,37.7614229,-122.506864,94122
24,37.7531236,-122.4433169,94114
25,37.7466231,-122.389048,94124
26,37.7402833,-122.4355589,94131
28,37.8025594,-122.4115287,94133
29,37.7661909,-122.4065728,94103
31,37.7798864,-122.4731053,94118
32,37.7363967,-122.4233647,94110
33,37.7108809,-122.4607885,94112
34,37.7794477,-122.5048806,94121
35,37.790007,-122.400181,94111
36,37.7749454,-122.4233869,94102
37,37.7574048,-122.4014175,94107
38,37.7896694,-122.4321468,94115
39,37.7400354,-122.4608462,94127
40,37.7476147,-122.4773506,94116
41,37.7934089,-122.418719,94109
42,37.7315871,-122.4077455,94134
43,37.7163441,-122.4338826,94112
44,37.7166386,-122.4026863,94134
48,37.8263896,-122.3685541,94130
49,37.7409633,-122.3868808,94124
51,37.8016304,-122.4576202,94129
